name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Northern State University,South Dakota,SD,Public,4 Year,8029,8498,16527,11471,19500,7,South-Dakota,42300,77700,56,7
Northern Vermont University,Vermont,VT,Public,4 Year,10598,12434,23032,25754,36352,,,,,,
Northern Virginia Community College,Virginia,VA,Public,2 Year,,5610,5610,11618,11618,,,,,,
Northland College,Wisconsin,WI,Private,4 Year,9176,36183,45359,36183,45359,,,,,,
Northland Community & Technical College,Minnesota,MN,Public,2 Year,4500,5549,10049,5549,10049,,,,,,
Northland Pioneer College,Arizona,AZ,Public,2 Year,,2310,2310,10740,10740,,,,,,
Northpoint Bible College,Massachusetts,MA,Private,4 Year,9500,12580,22080,12580,22080,,,,,,
Northwest Arkansas Community College,Arkansas,AR,Public,2 Year,,3208,3208,4708,4708,,,,,,
Northwest Christian University,Oregon,OR,Private,4 Year,9300,30050,39350,30050,39350,17,Oregon,45200,81100,62,5
Northwest College,Wyoming,WY,Public,2 Year,6090,3420,9510,7932,14022,,,,,,
Northwest College of Art & Design,Washington,WA,For Profit,4 Year,,20600,20600,20600,20600,,,,,,
Northwest Florida State College,Florida,FL,Public,2 Year,,3324,3324,11634,11634,,,,,,
Northwest Indian College,Washington,WA,Public,2 Year,4950,5445,10395,14310,19260,,,,,,
Northwest Iowa Community College,Iowa,IA,Public,2 Year,,5070,5070,5370,5370,,,,,,
Northwest Kansas Technical College,Kansas,KS,Public,2 Year,4850,8300,13150,8300,13150,,,,,,
Northwest Mississippi Community College,Mississippi,MS,Public,2 Year,3550,3000,6550,5400,8950,,,,,,
Northwest Missouri State University,Missouri,MO,Public,4 Year,10016,9805,19821,16457,26473,13,Missouri,46900,85100,50,26
Northwest Nazarene University,Idaho,ID,Private,4 Year,7400,29300,36700,29300,36700,6,Idaho,46200,80600,68,7
Northwest School of Wooden Boatbuilding,Washington,WA,Private,4 Year,,19500,19500,19500,19500,,,,,,
Northwest State Community College,Ohio,OH,Public,2 Year,,5102,5102,9942,9942,,,,,,
Northwest Technical College,Minnesota,MN,Public,2 Year,,5488,5488,5488,5488,,,,,,
Northwest University,Washington,WA,Private,4 Year,8630,31540,40170,31540,40170,16,Washington,50900,89000,51,3
Northwest Vista College,Texas,TX,Public,2 Year,,2720,2720,13730,13730,,,,,,
Northwest-Shoals Community College,Alabama,AL,Public,2 Year,,4695,4695,8565,8565,,,,,,
Northwestern College,Iowa,IA,Private,4 Year,9200,31100,40300,31100,40300,18,Iowa,44800,82400,42,11
Northwestern College,Illinois,IL,For Profit,2 Year,12402,18485,30887,18485,30887,18,Iowa,44800,82400,42,11
Northwestern Connecticut Community College,Connecticut,CT,Public,2 Year,,4404,4404,13172,13172,,,,,,
Northwestern Health Sciences University,Minnesota,MN,Private,4 Year,,13380,13380,13380,13380,,,,,,
Northwestern Michigan College,Michigan,MI,Public,2 Year,8750,4174,12924,9611,18361,,,,,,
Northwestern Oklahoma State University,Oklahoma,OK,Public,4 Year,4780,7036,11816,14153,18933,18,Oklahoma,42200,76800,55,11
Northwestern Polytechnic University,California,CA,Private,4 Year,6000,10700,16700,10700,16700,,,,,,
Northwestern State University,Louisiana,LA,Public,4 Year,8884,8580,17464,19368,28252,,,,,,
Northwestern University,Illinois,IL,Private,4 Year,16626,54567,71193,54567,71193,2,Illinois,63400,115400,46,20
Northwood University: Michigan,Michigan,MI,Private,4 Year,10480,27060,37540,27060,37540,,,,,,
Norwalk Community College,Connecticut,CT,Public,2 Year,,4399,4399,13167,13167,,,,,,
Norwich University,Vermont,VT,Private,4 Year,13840,40016,53856,40016,53856,3,Vermont,57000,99100,51,20
Nossi College of Art,Tennessee,TN,For Profit,2 Year,,17700,17700,17700,17700,,,,,,
Notre Dame College,Ohio,OH,Private,4 Year,9980,30160,40140,30160,40140,,,,,,
Notre Dame de Namur University,California,CA,Private,4 Year,14494,35350,49844,35350,49844,,,,,,
Notre Dame of Maryland University,Maryland,MD,Private,4 Year,11850,36900,48750,36900,48750,23,Maryland,48300,86400,58,3
Nova Southeastern University,Florida,FL,Private,4 Year,13250,30900,44150,30900,44150,14,Florida,50200,89800,60,9
Nueta Hidatsa Sahnish College,North Dakota,ND,Public,2 Year,,3870,3870,3870,3870,,,,,,
Nunez Community College,Louisiana,LA,Public,2 Year,,4175,4175,7674,7674,,,,,,
Nyack College,New York,NY,Private,4 Year,9450,25350,34800,25350,34800,,,,,,
O'More College of Design,Tennessee,TN,Private,4 Year,,29880,29880,29880,29880,,,,,,
Oak Hills Christian College,Minnesota,MN,Private,4 Year,6984,17314,24298,17314,24298,,,,,,
Oakland City University,Indiana,IN,Private,4 Year,9900,24000,33900,24000,33900,,,,,,
Oakland Community College,Michigan,MI,Public,2 Year,,2960,2960,5540,5540,,,,,,
Oakland University,Michigan,MI,Public,4 Year,10100,12606,22706,24230,34330,9,Michigan,51300,93300,49,19
Oakton Community College,Illinois,IL,Public,2 Year,,4292,4292,13375,13375,,,,,,
Oakwood University,Alabama,AL,Private,4 Year,9312,16720,26032,16720,26032,15,Alabama,43500,78800,71,16
Oberlin College,Ohio,OH,Private,4 Year,16338,55054,71392,55054,71392,13,Ohio,53100,96800,47,21
Occidental College,California,CA,Private,4 Year,15496,54686,70182,54686,70182,,,,,,
Ocean County College,New Jersey,NJ,Public,2 Year,,4515,4515,7695,7695,,,,,,
Odessa College,Texas,TX,Public,2 Year,5412,2794,8206,5450,10862,,,,,,
Oglala Lakota College,South Dakota,SD,Public,4 Year,,3560,3560,3560,3560,,,,,,
Oglethorpe University,Georgia,GA,Private,4 Year,13200,38100,51300,38100,51300,6,Georgia,52400,91400,50,12
Ohio Christian University,Ohio,OH,Private,4 Year,8076,23306,31382,23306,31382,,,,,,
Ohio Dominican University,Ohio,OH,Private,4 Year,10948,31080,42028,31080,42028,,,,,,
Ohio Northern University,Ohio,OH,Private,4 Year,11650,32260,43910,32260,43910,6,Ohio,54400,103900,49,22
Ohio State University Agricultural Technical Institute,Ohio,OH,Public,2 Year,8696,7658,16354,27674,36370,,,,,,
Ohio State University: Columbus Campus,Ohio,OH,Public,4 Year,12434,10726,23160,30742,43176,,,,,,
Ohio State University: Lima Campus,Ohio,OH,Public,4 Year,,7644,7644,27660,27660,,,,,,
Ohio State University: Mansfield Campus,Ohio,OH,Public,4 Year,8094,7644,15738,27660,35754,,,,,,
Ohio State University: Marion Campus,Ohio,OH,Public,4 Year,,7644,7644,27660,27660,,,,,,
Ohio State University: Newark Campus,Ohio,OH,Public,4 Year,9268,7644,16912,27660,36928,,,,,,
Ohio Technical College,Ohio,OH,For Profit,2 Year,,28544,28544,28544,28544,,,,,,
Ohio University,Ohio,OH,Public,4 Year,11830,12192,24022,21656,33486,,,,,,
Ohio University: Chillicothe Campus,Ohio,OH,Public,4 Year,,5060,5060,9596,9596,,,,,,
Ohio University: Eastern Campus,Ohio,OH,Public,4 Year,,4830,4830,6742,6742,,,,,,
Ohio University: Lancaster Campus,Ohio,OH,Public,4 Year,,5490,5490,8482,8482,,,,,,
Ohio University: Southern Campus at Ironton,Ohio,OH,Public,4 Year,,4872,4872,6718,6718,,,,,,
Ohio University: Zanesville Campus,Ohio,OH,Public,4 Year,,5490,5490,8482,8482,,,,,,
Ohio Valley University,West Virginia,WV,Private,4 Year,7980,21900,29880,21900,29880,16,West-Virginia,38800,71100,81,1
Ohio Wesleyan University,Ohio,OH,Private,4 Year,12430,45760,58190,45760,58190,9,Ohio,51300,99200,46,21
Ohlone College,California,CA,Public,2 Year,,1419,1419,8409,8409,,,,,,
Ohr Somayach Tanenbaum Education Center,New York,NY,Private,4 Year,9000,9000,18000,9000,18000,,,,,,
Oklahoma Baptist University,Oklahoma,OK,Private,4 Year,7350,28258,35608,28258,35608,19,Oklahoma,43900,76600,62,8
Oklahoma Christian University,Oklahoma,OK,Private,4 Year,8190,22760,30950,22760,30950,7,Oklahoma,49700,87900,57,41
Oklahoma City Community College,Oklahoma,OK,Public,2 Year,,4059,4059,9810,9810,,,,,,
Oklahoma City University,Oklahoma,OK,Private,4 Year,8896,31026,39922,31026,39922,7,Oklahoma,47700,87900,58,9
Oklahoma Panhandle State University,Oklahoma,OK,Public,4 Year,4695,8194,12889,9133,13828,20,Oklahoma,42300,74400,54,10
Oklahoma State University,Oklahoma,OK,Public,4 Year,8549,9019,17568,24539,33088,,,,,,
Oklahoma State University Institute of Technology: Okmulgee,Oklahoma,OK,Public,2 Year,6988,5550,12538,11160,18148,,,,,,
Oklahoma State University: Oklahoma City,Oklahoma,OK,Public,2 Year,,4479,4479,11559,11559,,,,,,
Oklahoma Wesleyan University,Oklahoma,OK,Private,4 Year,8644,26956,35600,26956,35600,15,Oklahoma,43300,78700,58,1
Old Dominion University,Virginia,VA,Public,4 Year,11620,10872,22492,29772,41392,14,Virginia,50200,89900,52,19
Olivet College,Michigan,MI,Private,4 Year,9590,27700,37290,27700,37290,,,,,,
Olivet Nazarene University,Illinois,IL,Private,4 Year,7900,36070,43970,36070,43970,,,,,,
Olympic College,Washington,WA,Public,2 Year,5925,4252,10177,4784,10709,,,,,,
Onondaga Community College,New York,NY,Public,2 Year,10140,5484,15624,10384,20524,,,,,,
Oral Roberts University,Oklahoma,OK,Private,4 Year,9450,27728,37178,27728,37178,9,Oklahoma,45900,85100,59,8
Orange Coast College,California,CA,Public,2 Year,,1438,1438,9568,9568,,,,,,
Orange County Community College,New York,NY,Public,2 Year,,5288,5288,9974,9974,,,,,,
Orangeburg-Calhoun Technical College,South Carolina,SC,Public,2 Year,,5750,5750,9200,9200,,,,,,
Oregon College of Art & Craft,Oregon,OR,Private,4 Year,,34850,34850,34850,34850,,,,,,
Oregon Health & Science University,Oregon,OR,Public,4 Year,,19176,19176,33666,33666,1,Oregon,65400,108300,79,10
Oregon Institute of Technology,Oregon,OR,Public,4 Year,9058,9987,19045,28056,37114,2,Oregon,61200,106800,60,27
Oregon State University,Oregon,OR,Public,4 Year,12855,11166,24021,30141,42996,5,Oregon,56200,104800,53,34
Orleans Technical Institute,Pennsylvania,PA,Private,2 Year,,13601,13601,13601,13601,,,,,,
Otero Junior College,Colorado,CO,Public,2 Year,7112,4882,11994,7861,14973,,,,,,
Otis College of Art and Design,California,CA,Private,4 Year,15100,44580,59680,44580,59680,,,,,,
Ottawa University,Kansas,KS,Private,4 Year,11900,27630,39530,27630,39530,,,,,,
Otterbein University,Ohio,OH,Private,4 Year,11258,31874,43132,31874,43132,,,,,,
Ouachita Baptist University,Arkansas,AR,Private,4 Year,7880,26790,34670,26790,34670,8,Arkansas,44100,80200,58,18
Our Lady of the Lake College,Louisiana,LA,Private,4 Year,,16484,16484,16484,16484,,,,,,
Our Lady of the Lake University of San Antonio,Texas,TX,Private,4 Year,9602,28740,38342,28740,38342,,,,,,
Owens Community College,Ohio,OH,Public,2 Year,,5860,5860,10424,10424,,,,,,
Owensboro Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,
Oxnard College,California,CA,Public,2 Year,,1418,1418,9218,9218,,,,,,
Ozark Christian College,Missouri,MO,Private,4 Year,6160,12620,18780,12620,18780,,,,,,
Ozarka College,Arkansas,AR,Public,2 Year,,3640,3640,6580,6580,,,,,,
Ozarks Technical Community College,Missouri,MO,Public,2 Year,,4000,4000,6760,6760,,,,,,
Pace University,New York,NY,Private,4 Year,19200,45280,64480,45280,64480,,,,,,
Pace University: Pleasantville/Briarcliff,New York,NY,Private,4 Year,16600,45280,61880,45280,61880,,,,,,
Pacific Lutheran University,Washington,WA,Private,4 Year,10790,42066,52856,42066,52856,10,Washington,54500,98100,53,20
Pacific Northwest College of Art,Oregon,OR,Private,4 Year,12860,38250,51110,38250,51110,15,Oregon,46300,85000,,0
Pacific Oaks College,California,CA,Private,4 Year,,34830,34830,34830,34830,,,,,,
Pacific States University,California,CA,Private,4 Year,,16005,16005,16005,16005,,,,,,
Pacific Union College,California,CA,Private,4 Year,8310,30060,38370,30060,38370,,,,,,
Pacific University,Oregon,OR,Private,4 Year,12528,44298,56826,44298,56826,8,Oregon,50200,94000,66,8
Paier College of Art,Connecticut,CT,For Profit,4 Year,,18040,18040,18040,18040,,,,,,
Paine College,Georgia,GA,Private,4 Year,6662,15595,22257,15595,22257,,,,,,
Palm Beach Atlantic University,Florida,FL,Private,4 Year,10120,31450,41570,31450,41570,,,,,,
Palm Beach State College,Florida,FL,Public,2 Year,,3030,3030,10890,10890,,,,,,
Palo Alto College,Texas,TX,Public,2 Year,,2660,2660,13670,13670,,,,,,
Palo Verde College,California,CA,Public,2 Year,,1380,1380,9120,9120,,,,,,
Palomar College,California,CA,Public,2 Year,,1430,1430,9170,9170,,,,,,
Pamlico Community College,North Carolina,NC,Public,2 Year,,2323,2323,8083,8083,,,,,,
Panola College,Texas,TX,Public,2 Year,5016,2400,7416,5190,10206,,,,,,
Paradise Valley Community College,Arizona,AZ,Public,2 Year,,2580,2580,9810,9810,,,,,,
Paris Junior College,Texas,TX,Public,2 Year,5000,2400,7400,5400,10400,,,,,,
Park University,Missouri,MO,Private,4 Year,8200,12650,20850,12650,20850,14,Missouri,48500,85000,56,7
Parkland College,Illinois,IL,Public,2 Year,,4920,4920,15870,15870,,,,,,
Parsons The New School for Design,New York,NY,Private,4 Year,18000,49847,67847,49847,67847,,,,,,
Pasadena City College,California,CA,Public,2 Year,,1440,1440,9180,9180,,,,,,
Pasco-Hernando State College,Florida,FL,Public,2 Year,,3155,3155,12032,12032,,,,,,
Passaic County Community College,New Jersey,NJ,Public,2 Year,,5070,5070,8850,8850,,,,,,
Patrick Henry College,Virginia,VA,Private,4 Year,10728,27922,38650,27922,38650,,,,,,
Patrick Henry Community College,Virginia,VA,Public,2 Year,,4730,4730,10658,10658,,,,,,
Paul D. Camp Community College,Virginia,VA,Public,2 Year,,4730,4730,10768,10768,,,,,,
Paul Quinn College,Texas,TX,Private,4 Year,6000,8495,14495,8495,14495,,,,,,
Paul Smith's College,New York,NY,Private,4 Year,12240,28484,40724,28484,40724,,,,,,
Pearl River Community College,Mississippi,MS,Public,2 Year,4900,3500,8400,5898,10798,,,,,,
Peirce College,Pennsylvania,PA,Private,4 Year,,18660,18660,18660,18660,,,,,,
Pellissippi State Community College,Tennessee,TN,Public,2 Year,,4480,4480,13246,13246,,,,,,
Peninsula College,Washington,WA,Public,2 Year,,5023,5023,9852,9852,,,,,,
Penn Commercial Business and Technical School,Pennsylvania,PA,For Profit,2 Year,,11809,11809,11809,11809,,,,,,
Penn State Abington,Pennsylvania,PA,Public,4 Year,8100,14524,22624,23278,31378,,,,,,
Penn State Altoona,Pennsylvania,PA,Public,4 Year,11570,15198,26768,24450,36020,,,,,,
Penn State Beaver,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456,,,,,,
Penn State Berks,Pennsylvania,PA,Public,4 Year,12730,15198,27928,24450,37180,,,,,,
Penn State Brandywine,Pennsylvania,PA,Public,4 Year,12180,14468,26648,23028,35208,,,,,,
Penn State DuBois,Pennsylvania,PA,Public,4 Year,,13702,13702,21886,21886,,,,,,
"Penn State Erie, The Behrend College",Pennsylvania,PA,Public,4 Year,11570,15198,26768,24450,36020,,,,,,
"Penn State Fayette, The Eberly Campus",Pennsylvania,PA,Public,4 Year,,13702,13702,21886,21886,,,,,,
Penn State Greater Allegheny,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456,,,,,,
Penn State Harrisburg,Pennsylvania,PA,Public,4 Year,13280,15198,28478,24450,37730,,,,,,
Penn State Hazleton,Pennsylvania,PA,Public,4 Year,11570,14468,26038,23028,34598,,,,,,
Penn State Lehigh Valley,Pennsylvania,PA,Public,4 Year,,14468,14468,23028,23028,,,,,,
Penn State Mont Alto,Pennsylvania,PA,Public,4 Year,11570,13702,25272,21886,33456,,,,,,
Penn State New Kensington,Pennsylvania,PA,Public,4 Year,,13702,13702,21886,21886,,,,,,
Penn State Schuylkill,Pennsylvania,PA,Public,4 Year,8618,14468,23086,23028,31646,,,,,,
Penn State Shenango,Pennsylvania,PA,Public,4 Year,,13342,13342,21366,21366,,,,,,
Penn State University Park,Pennsylvania,PA,Public,4 Year,11570,18454,30024,34858,46428,,,,,,
Penn State Wilkes-Barre,Pennsylvania,PA,Public,4 Year,,13586,13586,21770,21770,,,,,,
Penn State Worthington Scranton,Pennsylvania,PA,Public,4 Year,,14832,14832,23028,23028,,,,,,
Penn State York,Pennsylvania,PA,Public,4 Year,,14468,14468,23028,23028,,,,,,
Pennsylvania Academy of the Fine Arts,Pennsylvania,PA,Private,4 Year,,38878,38878,38878,38878,,,,,,
Pennsylvania College of Art and Design,Pennsylvania,PA,Private,4 Year,,25850,25850,25850,25850,,,,,,
Pennsylvania College of Health Sciences,Pennsylvania,PA,Private,4 Year,,27662,27662,27662,27662,,,,,,
Pennsylvania College of Technology,Pennsylvania,PA,Public,4 Year,11544,16740,28284,23880,35424,,,,,,
Pennsylvania Highlands Community College,Pennsylvania,PA,Public,2 Year,,5820,5820,11460,11460,,,,,,
Pennsylvania Institute of Technology,Pennsylvania,PA,Private,2 Year,6000,13365,19365,13365,19365,,,,,,
Pensacola State College,Florida,FL,Public,2 Year,,3137,3137,12593,12593,,,,,,
Pepperdine University,California,CA,Private,4 Year,15320,53932,69252,53932,69252,,,,,,
Peru State College,Nebraska,NE,Public,4 Year,8010,7452,15462,7482,15492,17,Nebraska,42600,74800,50,6
Pfeiffer University,North Carolina,NC,Private,4 Year,11226,30234,41460,30234,41460,23,North-Carolina,44200,78000,51,4
Philander Smith College,Arkansas,AR,Private,4 Year,8250,12414,20664,12414,20664,19,Arkansas,34600,61200,,26
Phillips Community College of the University of Arkansas,Arkansas,AR,Public,2 Year,,2910,2910,4740,4740,,,,,,
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY,Private,2 Year,,37445,37445,37445,37445,,,,,,
Phoenix College,Arizona,AZ,Public,2 Year,,2580,2580,9810,9810,,,,,,
Piedmont College,Georgia,GA,Private,4 Year,10168,25920,36088,25920,36088,,,,,,
Piedmont Community College,North Carolina,NC,Public,2 Year,,2544,2544,8688,8688,,,,,,
Piedmont International University,North Carolina,NC,Private,4 Year,7810,10970,18780,10970,18780,,,,,,
Piedmont Technical College,South Carolina,SC,Public,2 Year,,5495,5495,7985,7985,,,,,,
Piedmont Virginia Community College,Virginia,VA,Public,2 Year,,4930,4930,10858,10858,,,,,,
Pierce College,Washington,WA,Public,2 Year,,4477,4477,5112,5112,,,,,,
Pierpont Community and Technical College,West Virginia,WV,Public,2 Year,9980,4918,14898,11472,21452,,,,,,
Pikes Peak Community College,Colorado,CO,Public,2 Year,,4812,4812,18672,18672,,,,,,
Pillar College,New Jersey,NJ,Private,4 Year,,21700,21700,21700,21700,,,,,,
Pima Community College,Arizona,AZ,Public,2 Year,,2670,2670,9315,9315,,,,,,
Pine Manor College,Massachusetts,MA,Private,4 Year,13830,31660,45490,31660,45490,,,,,,
Pine Technical & Community College,Minnesota,MN,Public,2 Year,,5093,5093,9687,9687,,,,,,
Pinnacle Career Institute: Kansas City,Missouri,MO,For Profit,2 Year,,17774,17774,17774,17774,,,,,,
Pitt Community College,North Carolina,NC,Public,2 Year,,2354,2354,8114,8114,,,,,,
Pittsburg State University,Kansas,KS,Public,4 Year,7778,7298,15076,18642,26420,8,Kansas,47100,84900,51,8
Pittsburgh Institute of Aeronautics,Pennsylvania,PA,Private,2 Year,,15990,15990,15990,15990,,,,,,
Pittsburgh Institute of Mortuary Science,Pennsylvania,PA,Private,2 Year,,15325,15325,15325,15325,,,,,,
Pitzer College,California,CA,Private,4 Year,16844,54056,70900,54056,70900,,,,,,
Plymouth State University,New Hampshire,NH,Public,4 Year,11100,14099,25199,22769,33869,12,New-Hampshire,47000,82200,50,6
Point Loma Nazarene University,California,CA,Private,4 Year,10450,35700,46150,35700,46150,,,,,,
Point Park University,Pennsylvania,PA,Private,4 Year,12200,31450,43650,31450,43650,,,,,,
Point University,Georgia,GA,Private,4 Year,7900,20600,28500,20600,28500,,,,,,
Polk State College,Florida,FL,Public,2 Year,,3367,3367,12272,12272,,,,,,
Pomona College,California,CA,Private,4 Year,16716,52780,69496,52780,69496,13,California,63800,117200,47,37
Pontifical Catholic University of Puerto Rico,,PR,Private,4 Year,1374,5490,6864,5490,6864,,,,,,
Pontifical College Josephinum,Ohio,OH,Private,4 Year,10600,23285,33885,23285,33885,,,,,,
Porterville College,California,CA,Public,2 Year,,1404,1404,7824,7824,,,,,,
Portland Community College,Oregon,OR,Public,2 Year,,5408,5408,11483,11483,,,,,,
Portland State University,Oregon,OR,Public,4 Year,10428,9105,19533,27060,37488,12,Oregon,50800,90500,48,16
Post University,Connecticut,CT,For Profit,4 Year,11600,31050,42650,31050,42650,,,,,,
Potomac State College of West Virginia University,West Virginia,WV,Public,2 Year,8524,4488,13012,11376,19900,,,,,,
Prairie State College,Illinois,IL,Public,2 Year,,5220,5220,13830,13830,,,,,,
Prairie View A&M University,Texas,TX,Public,4 Year,8925,10533,19458,24843,33768,17,Texas,57800,99400,65,22
Pratt Community College,Kansas,KS,Public,2 Year,5641,3428,9069,3728,9369,,,,,,
Pratt Institute,New York,NY,Private,4 Year,12622,51870,64492,51870,64492,,,,,,
Presbyterian College,South Carolina,SC,Private,4 Year,10480,38660,49140,38660,49140,6,South-Carolina,48800,89900,57,14
Prescott College,Arizona,AZ,Private,4 Year,7700,31485,39185,31485,39185,7,Arizona,41200,73500,69,0
Presentation College,South Dakota,SD,Private,4 Year,9578,19995,29573,19995,29573,,,,,,
Prince George's Community College,Maryland,MD,Public,2 Year,,4700,4700,10610,10610,,,,,,
Princeton University,New Jersey,NJ,Private,4 Year,16290,49330,65620,49330,65620,2,New-Jersey,75200,139400,48,48
Principia College,Illinois,IL,Private,4 Year,11610,29470,41080,29470,41080,17,Illinois,52600,94900,56,19
Providence Christian College,California,CA,Private,4 Year,9694,29372,39066,29372,39066,,,,,,
Providence College,Rhode Island,RI,Private,4 Year,14700,50390,65090,50390,65090,3,Rhode-Island,58900,106900,44,11
Pueblo Community College,Colorado,CO,Public,2 Year,,5968,5968,19425,19425,,,,,,
Purdue University,Indiana,IN,Public,4 Year,10030,9992,20022,28794,38824,,,,,,
Purdue University Northwest,Indiana,IN,Public,4 Year,7640,7686,15326,17368,25008,,,,,,
Queens University of Charlotte,North Carolina,NC,Private,4 Year,10860,34684,45544,34684,45544,9,North-Carolina,49400,86600,48,9
Quincy College,Massachusetts,MA,Public,2 Year,,7100,7100,7100,7100,,,,,,
Quincy University,Illinois,IL,Private,4 Year,10500,28462,38962,28462,38962,,,,,,
Quinebaug Valley Community College,Connecticut,CT,Public,2 Year,,4399,4399,13167,13167,,,,,,
Quinnipiac University,Connecticut,CT,Private,4 Year,14540,47960,62500,47960,62500,10,Connecticut,55900,97700,46,10
Quinsigamond Community College,Massachusetts,MA,Public,2 Year,,6720,6720,12900,12900,,,,,,
Rabbi Jacob Joseph School,New Jersey,NJ,Private,4 Year,3300,14400,17700,14400,17700,,,,,,
Rabbinical Academy Mesivta Rabbi Chaim Berlin,New York,NY,Private,4 Year,3000,12800,15800,12800,15800,,,,,,
Rabbinical College Beth Shraga,New York,NY,Private,4 Year,5700,13550,19250,13550,19250,,,,,,
Rabbinical College Bobover Yeshiva B'nei Zion,New York,NY,Private,4 Year,4500,7750,12250,7750,12250,,,,,,
Rabbinical College of America,New Jersey,NJ,Private,4 Year,7500,11500,19000,11500,19000,,,,,,
Rabbinical College of Long Island,New York,NY,Private,4 Year,4900,11575,16475,11575,16475,,,,,,
Rabbinical College of Ohr Shimon Yisroel,New York,NY,Private,4 Year,1600,13500,15100,13500,15100,,,,,,
Rabbinical College of Telshe,Ohio,OH,Private,4 Year,3000,10800,13800,10800,13800,,,,,,
Rabbinical Seminary of America,New York,NY,Private,4 Year,6000,9800,15800,9800,15800,,,,,,
Radford University,Virginia,VA,Public,4 Year,9406,11210,20616,22845,32251,22,Virginia,48900,82900,53,10
Rainy River Community College,Minnesota,MN,Public,2 Year,4280,5325,9605,6507,10787,,,,,,
Ramapo College of New Jersey,New Jersey,NJ,Public,4 Year,12450,14374,26824,23715,36165,15,New-Jersey,51600,95200,41,12
Randall University,Oklahoma,OK,Private,4 Year,7704,14090,21794,14090,21794,,,,,,
Randolph College,Virginia,VA,Private,4 Year,13580,39585,53165,39585,53165,19,Virginia,47000,86100,50,23
Randolph Community College,North Carolina,NC,Public,2 Year,,2383,2383,8143,8143,,,,,,
Randolph-Macon College,Virginia,VA,Private,4 Year,11860,41400,53260,41400,53260,,,,,,
Ranger College,Texas,TX,Public,2 Year,4231,3065,7296,5765,9996,,,,,,
Ranken Technical College,Missouri,MO,Private,2 Year,,14392,14392,14392,14392,,,,,,
Rappahannock Community College,Virginia,VA,Public,2 Year,,5075,5075,10373,10373,,,,,,
Raritan Valley Community College,New Jersey,NJ,Public,2 Year,,5686,5686,7036,7036,,,,,,
Reading Area Community College,Pennsylvania,PA,Public,2 Year,,5580,5580,10590,10590,,,,,,
Red Rocks Community College,Colorado,CO,Public,2 Year,,4986,4986,18848,18848,,,,,,
Redlands Community College,Oklahoma,OK,Public,2 Year,7468,5325,12793,7891,15359,,,,,,
Reed College,Oregon,OR,Private,4 Year,14210,56340,70550,56340,70550,3,Oregon,56100,104900,44,26
Reedley College,California,CA,Public,2 Year,6668,1420,8088,9160,15828,,,,,,
Refrigeration School,Arizona,AZ,For Profit,2 Year,,21615,21615,21615,21615,,,,,,
Regent University,Virginia,VA,Private,4 Year,9120,18108,27228,18108,27228,,,,,,
Regis College,Massachusetts,MA,Private,4 Year,15180,41015,56195,41015,56195,,,,,,
Regis University,Colorado,CO,Private,4 Year,11560,36810,48370,36810,48370,8,Colorado,55500,94800,58,13
Reinhardt University,Georgia,GA,Private,4 Year,10200,23300,33500,23300,33500,,,,,,
Rend Lake College,Illinois,IL,Public,2 Year,,3900,3900,6600,6600,,,,,,
Rensselaer Polytechnic Institute,New York,NY,Private,4 Year,15260,53880,69140,53880,69140,6,New-York,71300,134100,49,78
Renton Technical College,Washington,WA,Public,2 Year,,4701,4701,5123,5123,,,,,,
Research College of Nursing,Missouri,MO,For Profit,4 Year,9970,37600,47570,37600,47570,,,,,,
Restaurant School at Walnut Hill College,Pennsylvania,PA,For Profit,4 Year,7200,13580,20780,13580,20780,,,,,,
Resurrection University,Illinois,IL,Private,4 Year,,26390,26390,26390,26390,,,,,,
Rhode Island College,Rhode Island,RI,Public,4 Year,11829,8929,20758,21692,33521,9,Rhode-Island,47200,83500,52,5
Rhode Island School of Design,Rhode Island,RI,Private,4 Year,13400,50960,64360,50960,64360,4,Rhode-Island,55500,100600,39,0
Rhodes College,Tennessee,TN,Private,4 Year,11403,47890,59293,47890,59293,2,Tennessee,51900,97800,46,25
Rice University,Texas,TX,Private,4 Year,14000,47350,61350,47350,61350,1,Texas,71000,129500,50,45
Richard Bland College,Virginia,VA,Public,2 Year,12204,8100,20304,21810,34014,,,,,,
Richland College,Texas,TX,Public,2 Year,,1770,1770,5220,5220,,,,,,
Richland Community College,Illinois,IL,Public,2 Year,,4410,4410,14490,14490,,,,,,
Richmond Community College,North Carolina,NC,Public,2 Year,,2344,2344,8104,8104,,,,,,
Rider University,New Jersey,NJ,Private,4 Year,14700,41310,56010,41310,56010,8,New-Jersey,51600,99000,47,5
Ridgewater College,Minnesota,MN,Public,2 Year,,5429,5429,5429,5429,,,,,,
Ringling College of Art and Design,Florida,FL,Private,4 Year,15070,46420,61490,46420,61490,,,,,,
Rio Hondo College,California,CA,Public,2 Year,,1452,1452,8472,8472,,,,,,
Rio Salado College,Arizona,AZ,Public,2 Year,7584,1898,9482,6222,13806,,,,,,
