id,group_random,group_random_dummy,Y0,Y1
264,control,0,4,6.2
265,treatment,1,10,12.2
266,treatment,1,9,11
267,control,0,4,6.2
268,control,0,5,8.2
269,control,0,7,8
270,control,0,6,9
271,control,0,5,7
272,treatment,1,2,5
273,control,0,4,7.2
274,treatment,1,3,6
275,treatment,1,2,5.2
276,control,0,5,8.2
277,control,0,4,5
278,treatment,1,9,10
279,treatment,1,7,10
280,treatment,1,8,9
281,treatment,1,5,6
282,treatment,1,3,4
283,treatment,1,3,6.2
284,treatment,1,1,4
285,control,0,1,3
286,control,0,2,3
287,control,0,2,5
288,control,0,7,10
289,treatment,1,6,8
290,treatment,1,7,8
291,treatment,1,3,4.2
292,treatment,1,3,5.2
293,control,0,9,11
294,control,0,1,3
295,control,0,5,7.2
296,treatment,1,10,11
297,treatment,1,9,11
298,treatment,1,8,10.2
299,control,0,1,2
300,treatment,1,7,8
301,control,0,2,5.2
302,treatment,1,2,4.2
303,treatment,1,5,7.2
304,treatment,1,4,7.2
305,treatment,1,2,5.2
306,control,0,8,10.2
307,treatment,1,9,11
308,treatment,1,7,9
309,treatment,1,6,9
310,treatment,1,6,7
311,control,0,2,5.2
312,treatment,1,3,5.2
313,control,0,5,7.2
314,treatment,1,9,12.2
315,treatment,1,11,14.2
316,control,0,9,11.2
317,treatment,1,4,7.2
318,treatment,1,4,5.2
319,control,0,11,12.2
320,treatment,1,6,8
321,control,0,5,6.2
322,control,0,4,7
323,treatment,1,10,11
324,control,0,6,7.2
325,treatment,1,10,11.2
326,control,0,10,11
327,treatment,1,5,7
328,treatment,1,10,11
329,treatment,1,4,6
330,treatment,1,10,11.2
331,control,0,11,13.2
332,treatment,1,2,4
333,control,0,8,11
334,treatment,1,1,2
335,control,0,5,7.2
336,control,0,2,3
337,control,0,5,7
338,treatment,1,7,9.2
339,control,0,7,8
340,treatment,1,7,8.2
341,control,0,8,11
342,treatment,1,8,11
343,treatment,1,10,13
344,treatment,1,7,8
345,control,0,4,7
346,treatment,1,5,8.2
347,treatment,1,5,7.2
348,control,0,2,3
349,treatment,1,3,6
350,treatment,1,11,14.2
351,control,0,10,12.2
352,treatment,1,2,5
353,treatment,1,11,14.2
354,control,0,6,9
355,treatment,1,9,12.2
356,control,0,5,7
357,control,0,2,4.2
358,control,0,5,6
359,treatment,1,9,10.2
360,control,0,3,4.2
361,treatment,1,9,11.2
362,control,0,1,3
363,treatment,1,10,11.2
364,treatment,1,9,10
365,treatment,1,3,5
366,treatment,1,3,5.2
367,control,0,7,9
368,treatment,1,3,4
369,treatment,1,6,7.2
370,treatment,1,8,11.2
371,control,0,8,10.2
372,control,0,2,3.2
373,control,0,5,7
374,control,0,6,8
375,treatment,1,9,11.2
376,control,0,10,12
377,treatment,1,1,4
378,treatment,1,2,3.2
379,control,0,4,7.2
380,control,0,4,7.2
381,control,0,10,12
382,control,0,2,5
383,treatment,1,7,8.2
384,treatment,1,10,11.2
385,treatment,1,10,13.2
386,treatment,1,10,13
387,treatment,1,10,13
388,treatment,1,7,9.2
389,treatment,1,2,5.2
390,treatment,1,8,11
391,treatment,1,6,9.2
392,treatment,1,10,13.2
393,control,0,2,3
394,control,0,6,8
395,treatment,1,5,6.2
396,control,0,4,6.2
397,treatment,1,6,8.2
398,control,0,6,7.2
399,control,0,11,14.2
400,control,0,7,9
401,treatment,1,7,8.2
402,treatment,1,8,10.2
403,treatment,1,7,8.2
404,treatment,1,1,3
405,treatment,1,9,12.2
406,treatment,1,5,8
407,control,0,3,6
408,control,0,4,6.2
409,treatment,1,9,12.2
410,control,0,6,8.2
411,treatment,1,11,14.2
412,treatment,1,8,10.2
413,control,0,8,9
414,control,0,6,9.2
415,treatment,1,9,12
416,control,0,9,11
417,treatment,1,2,4
418,treatment,1,5,7.2
419,treatment,1,4,6.2
420,control,0,11,14.2
421,treatment,1,8,10
422,control,0,10,11
423,control,0,3,4
424,treatment,1,9,12.2
425,treatment,1,8,11.2
426,control,0,7,9.2
427,treatment,1,5,8.2
428,control,0,1,3
429,control,0,11,12.2
430,control,0,6,7.2
431,treatment,1,3,5.2
432,control,0,8,10.2
433,control,0,5,7.2
434,treatment,1,2,4
435,treatment,1,8,10.2
436,control,0,4,6
437,treatment,1,7,10
438,treatment,1,5,7
439,treatment,1,8,10
440,control,0,8,9
441,treatment,1,8,11
442,control,0,1,2
443,control,0,1,3
444,control,0,7,9.2
445,control,0,8,10
446,treatment,1,8,11.2
447,treatment,1,9,12
448,treatment,1,5,8.2
449,treatment,1,8,11.2
450,treatment,1,6,8
451,treatment,1,4,5
452,control,0,7,9.2
453,treatment,1,5,6.2
454,control,0,10,12
455,treatment,1,7,9
456,control,0,7,8
457,treatment,1,6,7.2
458,control,0,11,14.2
459,treatment,1,5,8.2
460,control,0,3,5.2
461,control,0,7,9
462,treatment,1,5,6
463,treatment,1,9,12.2
464,control,0,5,7
465,treatment,1,10,11.2
466,control,0,5,8
467,control,0,11,14.2
468,treatment,1,2,3
469,treatment,1,2,4
470,control,0,3,6.2
471,treatment,1,1,2
472,control,0,2,4.2
473,treatment,1,7,8
474,control,0,9,10
475,treatment,1,6,9.2
476,control,0,4,7.2
477,control,0,9,10.2
478,control,0,6,7.2
479,control,0,10,13.2
480,control,0,4,7.2
481,treatment,1,9,12
482,control,0,9,10.2
483,treatment,1,2,3.2
484,control,0,2,3.2
485,treatment,1,3,5.2
486,treatment,1,6,9
487,control,0,5,7
488,treatment,1,5,7.2
489,control,0,6,9.2
490,treatment,1,1,4
491,control,0,6,9.2
492,treatment,1,1,3
493,treatment,1,9,10.2
494,control,0,10,11
495,control,0,7,8
496,control,0,4,5.2
497,control,0,7,10.2
498,treatment,1,5,7.2
499,treatment,1,2,4
500,treatment,1,5,8
501,treatment,1,8,9.2
502,treatment,1,10,12.2
503,control,0,9,10.2
504,treatment,1,9,11.2
505,treatment,1,8,10.2
506,control,0,9,11.2
507,treatment,1,2,3.2
508,treatment,1,7,9.2
509,control,0,10,12
510,control,0,2,5.2
511,treatment,1,10,11.2
512,control,0,5,6.2
513,control,0,2,5.2
514,control,0,4,6.2
515,treatment,1,5,7.2
516,treatment,1,1,2
517,control,0,6,8.2
518,control,0,1,4
519,treatment,1,3,5
520,control,0,4,6
521,control,0,7,10.2
522,treatment,1,3,5
523,control,0,2,5.2
524,control,0,4,7.2
525,treatment,1,6,7
526,control,0,8,10
527,treatment,1,4,7.2
528,control,0,9,10
529,control,0,11,14.2
530,control,0,7,9
531,treatment,1,5,7
532,control,0,7,9
533,control,0,5,6
534,treatment,1,5,6.2
535,treatment,1,9,10.2
536,treatment,1,10,12.2
537,control,0,9,12.2
538,control,0,6,8
539,control,0,11,12.2
540,treatment,1,9,12.2
541,control,0,1,4
542,treatment,1,9,11
543,treatment,1,5,6
544,treatment,1,10,13.2
545,control,0,3,5.2
546,control,0,3,5
547,control,0,4,6
548,control,0,10,11.2
549,treatment,1,6,8.2
550,control,0,7,10
551,control,0,3,4
552,control,0,10,11
553,treatment,1,5,8
554,treatment,1,5,6.2
555,control,0,8,10
556,treatment,1,8,9
557,treatment,1,6,7
558,treatment,1,11,12.2
559,treatment,1,3,6
560,treatment,1,2,3.2
561,treatment,1,9,11.2
562,treatment,1,2,5
563,control,0,2,3.2
564,control,0,9,11
565,control,0,11,14.2
566,treatment,1,9,11
567,treatment,1,11,12.2
568,control,0,11,14.2
569,treatment,1,9,12
570,treatment,1,8,9
571,control,0,6,8.2
572,treatment,1,8,10.2
573,control,0,9,12
574,control,0,5,7
575,treatment,1,4,7
576,control,0,11,14.2
577,treatment,1,10,13
578,treatment,1,11,12.2
579,treatment,1,5,6
580,control,0,7,9.2
581,control,0,10,12
582,treatment,1,7,8
583,treatment,1,11,12.2
584,treatment,1,5,6
585,control,0,10,11.2
586,control,0,8,9.2
587,control,0,10,13
588,treatment,1,2,3.2
589,treatment,1,4,7
590,treatment,1,5,7
591,control,0,3,4.2
592,control,0,5,6.2
593,control,0,1,4
594,treatment,1,3,6
595,control,0,6,7.2
596,treatment,1,4,5
597,control,0,6,9.2
598,control,0,10,12.2
599,treatment,1,9,11
600,treatment,1,5,6
601,treatment,1,10,13.2
602,control,0,6,9.2
603,treatment,1,5,8
604,treatment,1,10,12.2
605,treatment,1,8,10.2
606,treatment,1,4,7
607,control,0,8,9.2
608,control,0,9,11
609,control,0,10,13
610,treatment,1,1,3
611,control,0,9,11.2
612,treatment,1,6,8.2
613,control,0,10,12.2
614,control,0,2,4.2
615,control,0,7,8
616,control,0,2,5
617,control,0,8,11
618,treatment,1,7,8
619,control,0,7,10.2
620,control,0,8,9
621,treatment,1,4,6.2
622,treatment,1,1,2
623,treatment,1,9,12.2
624,control,0,6,9.2
625,control,0,10,11.2
626,control,0,11,12.2
627,treatment,1,2,3.2
628,control,0,2,4
629,control,0,5,8
630,control,0,4,7.2
631,control,0,10,12
632,treatment,1,9,11.2
633,treatment,1,5,7
634,control,0,10,13.2
635,treatment,1,10,13
636,treatment,1,1,4
637,control,0,6,8
638,control,0,7,9
639,control,0,11,12.2
640,control,0,8,11
641,control,0,4,5.2
642,control,0,9,10
643,control,0,4,6.2
644,control,0,1,4
645,treatment,1,9,10
646,control,0,1,3
647,control,0,1,2
648,treatment,1,8,9.2
649,control,0,3,5
650,control,0,5,6
651,treatment,1,6,7.2
652,treatment,1,11,12.2
653,control,0,1,2
654,treatment,1,9,10.2
655,treatment,1,10,11
656,control,0,1,2
657,treatment,1,7,9
658,control,0,4,5
659,treatment,1,11,12.2
660,control,0,4,6
661,control,0,3,4.2
662,control,0,8,9
663,control,0,7,9
664,control,0,9,10
665,treatment,1,4,7.2
666,control,0,8,10.2
667,treatment,1,1,2
668,control,0,9,10.2
669,control,0,11,13.2
670,treatment,1,1,3
671,treatment,1,10,11
672,control,0,11,12.2
673,treatment,1,4,6.2
674,treatment,1,3,5
675,treatment,1,8,10
676,treatment,1,7,10
677,control,0,5,6
678,treatment,1,3,4
679,control,0,7,8.2
680,treatment,1,10,11.2
681,control,0,10,11
682,treatment,1,4,5.2
683,control,0,7,9
684,control,0,4,7
685,control,0,6,8.2
686,treatment,1,8,10.2
687,control,0,2,5
688,control,0,7,8.2
689,control,0,7,10.2
690,treatment,1,2,3
691,control,0,10,13.2
692,treatment,1,1,3
693,treatment,1,9,11.2
694,control,0,4,5.2
695,treatment,1,10,13
696,treatment,1,4,6.2
697,treatment,1,10,13.2
698,treatment,1,7,8
699,treatment,1,1,2
700,treatment,1,7,8
701,control,0,1,4
702,control,0,10,13
703,control,0,8,11
704,control,0,5,6
705,control,0,10,12.2
706,treatment,1,2,4.2
707,treatment,1,10,11.2
708,treatment,1,10,12.2
709,treatment,1,2,3
710,control,0,9,12.2
711,treatment,1,11,14.2
712,treatment,1,8,9.2
713,treatment,1,5,6.2
714,control,0,6,7
715,treatment,1,4,7
716,treatment,1,4,6
717,control,0,5,6.2
718,treatment,1,6,9
719,treatment,1,10,11
720,control,0,6,9
721,control,0,6,8.2
722,treatment,1,3,6
723,control,0,10,11
724,control,0,10,12
725,control,0,4,6
726,control,0,11,13.2
727,control,0,7,10
728,treatment,1,5,8.2
729,control,0,4,5.2
730,treatment,1,5,6
731,treatment,1,6,8.2
732,control,0,8,10.2
733,control,0,4,5.2
734,treatment,1,10,12
735,treatment,1,7,8.2
736,treatment,1,2,4
737,control,0,9,12
738,treatment,1,11,14.2
739,control,0,5,7.2
740,treatment,1,4,5
741,control,0,8,9
742,control,0,9,11.2
743,control,0,10,13
744,control,0,2,3.2
745,treatment,1,10,12.2
746,control,0,2,5.2
747,treatment,1,6,7
748,control,0,8,11.2
749,treatment,1,2,5.2
750,control,0,9,11
751,treatment,1,8,11.2
752,treatment,1,7,8
753,control,0,3,6
754,treatment,1,1,3
755,treatment,1,2,4
756,control,0,9,11.2
757,control,0,6,9
758,treatment,1,11,12.2
759,control,0,10,12.2
760,treatment,1,3,5.2
761,treatment,1,11,12.2
762,treatment,1,5,6
763,treatment,1,2,3
764,control,0,7,9
765,treatment,1,10,12.2
766,control,0,11,14.2
767,treatment,1,4,7
768,control,0,2,5.2
769,control,0,2,3.2
770,control,0,6,7
771,control,0,4,7
772,treatment,1,8,9
773,control,0,5,8.2
774,treatment,1,5,8
775,control,0,7,10.2
776,control,0,7,10.2
777,treatment,1,7,9.2
778,control,0,8,11.2
779,treatment,1,6,9
780,control,0,11,12.2
781,treatment,1,10,11
782,treatment,1,8,9.2
783,treatment,1,3,6.2
784,treatment,1,5,8.2
785,control,0,4,7
786,treatment,1,6,8.2
787,treatment,1,8,9.2
788,control,0,4,5.2
789,treatment,1,5,6
790,treatment,1,3,6
791,treatment,1,2,3
792,control,0,11,12.2
793,treatment,1,3,6.2
794,treatment,1,4,5.2
795,control,0,8,11.2
796,control,0,9,10.2
797,control,0,4,5
798,treatment,1,4,5.2
799,treatment,1,1,4
800,treatment,1,1,3
801,control,0,8,11.2
802,control,0,4,7.2
803,treatment,1,3,4
804,treatment,1,5,8
805,control,0,6,7.2
806,treatment,1,9,12.2
807,control,0,2,3
808,treatment,1,2,5
809,control,0,2,3.2
810,treatment,1,3,4.2
811,treatment,1,5,7.2
812,treatment,1,4,7.2
813,control,0,8,10.2
814,treatment,1,10,11.2
815,treatment,1,2,4.2
816,treatment,1,5,7.2
817,control,0,7,9
818,control,0,6,8
819,treatment,1,6,9
820,control,0,7,9
821,treatment,1,9,12.2
822,treatment,1,10,11
823,treatment,1,1,2
824,treatment,1,3,6
825,treatment,1,10,13
826,control,0,4,7.2
827,control,0,6,8
828,treatment,1,8,11
829,control,0,2,3.2
830,treatment,1,3,6
831,treatment,1,1,4
832,treatment,1,3,4
833,control,0,6,7
834,treatment,1,5,8.2
835,control,0,10,11
836,control,0,8,9
837,treatment,1,3,4.2
838,control,0,1,2
839,control,0,3,5
840,control,0,9,11.2
841,control,0,8,11
842,control,0,2,3
843,control,0,3,6
844,control,0,4,7.2
845,treatment,1,7,9.2
846,treatment,1,7,10
847,treatment,1,10,13.2
848,control,0,7,10.2
849,control,0,7,9
850,treatment,1,9,11.2
851,treatment,1,5,8
852,control,0,2,5.2
853,control,0,10,11.2
854,control,0,5,8
855,treatment,1,3,5
856,control,0,5,7.2
857,treatment,1,9,11
858,treatment,1,1,3
859,control,0,4,6
860,control,0,2,4
861,treatment,1,1,3
862,treatment,1,2,4.2
863,treatment,1,8,11
864,control,0,8,9.2
865,control,0,8,9.2
866,control,0,7,8.2
867,control,0,3,5.2
868,control,0,7,9.2
869,treatment,1,1,4
870,treatment,1,9,12.2
871,treatment,1,3,5
872,treatment,1,9,12.2
873,treatment,1,6,8
874,control,0,11,13.2
875,control,0,4,5
876,treatment,1,2,5
877,treatment,1,2,3
878,control,0,8,9.2
879,treatment,1,4,7.2
880,treatment,1,4,6
881,treatment,1,5,7
882,treatment,1,10,11
883,treatment,1,7,9.2
884,treatment,1,3,4
885,control,0,7,8.2
886,control,0,4,5
887,control,0,10,11
888,control,0,11,14.2
889,control,0,8,10.2
890,control,0,6,8.2
891,control,0,3,5.2
892,control,0,4,5.2
893,control,0,6,9.2
894,control,0,1,4
895,control,0,8,9
896,control,0,8,10.2
897,treatment,1,8,9
898,treatment,1,3,6
899,treatment,1,7,9
900,treatment,1,11,13.2
901,control,0,3,5
902,control,0,4,5
903,treatment,1,4,6.2
904,treatment,1,9,11
905,control,0,10,13
906,control,0,5,6
907,treatment,1,8,11
908,control,0,2,4
909,control,0,5,7
910,treatment,1,7,9.2
911,control,0,6,9.2
912,control,0,5,8
913,treatment,1,3,4
914,control,0,10,11
915,treatment,1,5,6.2
916,control,0,7,9
917,control,0,11,13.2
918,treatment,1,6,9
919,treatment,1,6,8
920,treatment,1,9,12.2
921,control,0,2,4.2
922,control,0,4,7
923,treatment,1,3,6
924,treatment,1,5,6.2
925,control,0,3,6
926,control,0,8,10.2
927,control,0,8,9.2
928,treatment,1,7,8.2
929,control,0,6,7
930,control,0,8,10.2
931,treatment,1,9,11.2
932,control,0,5,8
933,treatment,1,9,10.2
934,treatment,1,2,5.2
935,treatment,1,10,12
936,treatment,1,8,9
937,control,0,10,12
938,treatment,1,5,7
939,treatment,1,8,10.2
940,control,0,8,11
941,control,0,10,11.2
942,treatment,1,3,5
943,treatment,1,5,8.2
944,treatment,1,6,9
945,control,0,6,8.2
946,control,0,10,13
947,treatment,1,9,11.2
948,treatment,1,10,13.2
949,treatment,1,5,7
950,control,0,2,3.2
951,treatment,1,1,4
952,treatment,1,6,9
953,control,0,4,7.2
954,control,0,10,13
955,control,0,7,8
956,control,0,3,4.2
957,treatment,1,8,11
958,treatment,1,9,12.2
959,control,0,11,14.2
960,control,0,1,3
961,control,0,2,3
962,treatment,1,7,9
963,treatment,1,7,8
964,treatment,1,2,5.2
965,control,0,7,9.2
966,control,0,6,7.2
967,control,0,7,8
968,treatment,1,1,4
969,control,0,9,11
970,control,0,8,10
971,control,0,2,3
972,treatment,1,9,12
973,treatment,1,4,5
974,control,0,11,12.2
975,treatment,1,10,12.2
976,treatment,1,4,7
977,control,0,9,11
978,control,0,7,9
979,treatment,1,3,4.2
980,control,0,1,3
981,control,0,4,5.2
982,treatment,1,4,6
983,control,0,8,11.2
984,treatment,1,8,11
985,control,0,9,11.2
986,treatment,1,6,9.2
987,control,0,7,10.2
988,control,0,5,6.2
989,control,0,7,9
990,treatment,1,10,11.2
991,treatment,1,7,10.2
992,control,0,5,6.2
993,control,0,10,12.2
994,control,0,9,12.2
995,treatment,1,9,12.2
996,control,0,6,8.2
997,control,0,5,6
998,treatment,1,10,11.2
999,treatment,1,5,8.2
1000,control,0,7,8.2
1001,treatment,1,6,9
1002,control,0,5,8
1003,control,0,7,8.2
1004,treatment,1,5,8.2
1005,control,0,7,9.2
1006,treatment,1,6,7.2
1007,treatment,1,4,7
1008,control,0,5,6
1009,control,0,9,10.2
1010,treatment,1,9,12
1011,treatment,1,2,5.2
1012,control,0,7,10
1013,control,0,4,5
1014,control,0,5,8
1015,control,0,4,6
1016,control,0,8,9
1017,control,0,6,8
1018,treatment,1,6,7.2
1019,treatment,1,5,7
1020,treatment,1,5,7.2
1021,control,0,5,8
1022,treatment,1,9,10
1023,treatment,1,7,8.2
1024,control,0,2,3.2
1025,control,0,4,5
1026,treatment,1,4,5.2
1027,control,0,2,3
1028,treatment,1,4,5.2
1029,control,0,7,9.2
1030,treatment,1,1,2
1031,treatment,1,6,8.2
1032,control,0,1,3
1033,treatment,1,2,5.2
1034,treatment,1,5,6.2
1035,treatment,1,10,12
1036,treatment,1,2,3.2
1037,control,0,3,6.2
1038,treatment,1,7,8
1039,treatment,1,6,8.2
1040,treatment,1,6,8
1041,control,0,1,3
1042,control,0,4,6
1043,treatment,1,9,12
1044,treatment,1,6,8
1045,control,0,8,11.2
1046,control,0,8,10.2
1047,control,0,1,4
1048,control,0,3,5
1049,control,0,11,13.2
1050,control,0,7,9.2
1051,control,0,5,7
1052,control,0,8,9.2
1053,control,0,7,8.2
1054,treatment,1,1,4
1055,control,0,1,4
1056,treatment,1,6,7.2
1057,treatment,1,3,5
1058,treatment,1,5,8.2
1059,control,0,8,11.2
1060,control,0,7,10
1061,treatment,1,2,5
1062,control,0,1,2
1063,control,0,7,9
1064,control,0,3,5
1065,treatment,1,4,7.2
1066,treatment,1,7,9.2
1067,treatment,1,4,7.2
1068,control,0,2,5
1069,control,0,2,3.2
1070,treatment,1,1,2
1071,treatment,1,6,8.2
1072,treatment,1,7,10.2
1073,treatment,1,9,12
1074,treatment,1,7,10.2
1075,treatment,1,9,11.2
1076,control,0,8,10
1077,treatment,1,4,7
1078,treatment,1,1,2
1079,control,0,4,5
1080,control,0,4,7
1081,control,0,6,7
1082,treatment,1,4,5
1083,control,0,7,9
1084,control,0,3,5
1085,control,0,10,13
1086,treatment,1,7,9.2
1087,treatment,1,11,13.2
1088,treatment,1,7,9.2
1089,treatment,1,11,12.2
1090,treatment,1,3,6.2
1091,control,0,6,9.2
1092,control,0,3,4
1093,control,0,5,7
1094,treatment,1,2,5
1095,treatment,1,7,10.2
1096,treatment,1,4,5.2
1097,treatment,1,5,7
1098,control,0,6,8.2
1099,treatment,1,9,11
1100,treatment,1,6,8
1101,treatment,1,4,5
1102,treatment,1,4,7.2
1103,treatment,1,7,9
1104,control,0,2,3
1105,treatment,1,7,8.2
1106,treatment,1,9,11.2
1107,control,0,10,11
1108,treatment,1,4,7
1109,control,0,2,4
1110,control,0,3,5.2
1111,treatment,1,7,8.2
1112,treatment,1,2,3.2
1113,treatment,1,6,9.2
1114,control,0,8,9.2
1115,control,0,8,10
1116,treatment,1,6,8
1117,control,0,11,14.2
1118,treatment,1,6,8
1119,treatment,1,9,10
1120,control,0,3,5
1121,treatment,1,5,7
1122,treatment,1,10,11.2
1123,control,0,9,12.2
1124,control,0,3,5.2
1125,treatment,1,8,9.2
1126,control,0,5,6
1127,treatment,1,2,3
1128,control,0,6,7.2
1129,treatment,1,4,6.2
1130,control,0,6,9
1131,treatment,1,8,9.2
1132,treatment,1,4,5
1133,control,0,5,6.2
1134,treatment,1,8,11.2
1135,control,0,5,7
1136,treatment,1,4,6
1137,control,0,5,8.2
1138,control,0,7,10.2
1139,treatment,1,4,5
1140,treatment,1,6,9.2
1141,treatment,1,4,5
1142,treatment,1,11,12.2
1143,control,0,4,7.2
1144,treatment,1,9,12.2
1145,control,0,5,6
1146,treatment,1,4,7.2
1147,treatment,1,9,11
1148,control,0,2,3.2
1149,control,0,10,11
1150,treatment,1,10,11
1151,control,0,8,9
