id,group,group_dummy,Y0,Y1
262,treatment,1,4,6.2
263,treatment,1,6,9.2
264,treatment,1,4,6.2
265,treatment,1,10,12.2
266,control,0,9,11
267,treatment,1,4,6.2
268,treatment,1,5,8.2
269,control,0,7,8
270,control,0,6,9
271,control,0,5,7
272,control,0,2,5
273,treatment,1,4,7.2
274,control,0,3,6
275,treatment,1,2,5.2
276,treatment,1,5,8.2
277,control,0,4,5
278,control,0,9,10
279,control,0,7,10
280,control,0,8,9
281,control,0,5,6
282,control,0,3,4
283,treatment,1,3,6.2
284,control,0,1,4
285,control,0,1,3
286,control,0,2,3
287,control,0,2,5
288,control,0,7,10
289,control,0,6,8
290,control,0,7,8
291,treatment,1,3,4.2
292,treatment,1,3,5.2
293,control,0,9,11
294,control,0,1,3
295,treatment,1,5,7.2
296,control,0,10,11
297,control,0,9,11
298,treatment,1,8,10.2
299,control,0,1,2
300,control,0,7,8
301,treatment,1,2,5.2
302,treatment,1,2,4.2
303,treatment,1,5,7.2
304,treatment,1,4,7.2
305,treatment,1,2,5.2
306,treatment,1,8,10.2
307,control,0,9,11
308,control,0,7,9
309,control,0,6,9
310,control,0,6,7
311,treatment,1,2,5.2
312,treatment,1,3,5.2
313,treatment,1,5,7.2
314,treatment,1,9,12.2
315,treatment,1,11,14.2
316,treatment,1,9,11.2
317,treatment,1,4,7.2
318,treatment,1,4,5.2
319,treatment,1,11,12.2
320,control,0,6,8
321,treatment,1,5,6.2
322,control,0,4,7
323,control,0,10,11
324,treatment,1,6,7.2
325,treatment,1,10,11.2
326,control,0,10,11
327,control,0,5,7
328,control,0,10,11
329,control,0,4,6
330,treatment,1,10,11.2
331,treatment,1,11,13.2
332,control,0,2,4
333,control,0,8,11
334,control,0,1,2
335,treatment,1,5,7.2
336,control,0,2,3
337,control,0,5,7
338,treatment,1,7,9.2
339,control,0,7,8
340,treatment,1,7,8.2
341,control,0,8,11
342,control,0,8,11
343,control,0,10,13
344,control,0,7,8
345,control,0,4,7
346,treatment,1,5,8.2
347,treatment,1,5,7.2
348,control,0,2,3
349,control,0,3,6
350,treatment,1,11,14.2
351,treatment,1,10,12.2
352,control,0,2,5
353,treatment,1,11,14.2
354,control,0,6,9
355,treatment,1,9,12.2
356,control,0,5,7
357,treatment,1,2,4.2
358,control,0,5,6
359,treatment,1,9,10.2
360,treatment,1,3,4.2
361,treatment,1,9,11.2
362,control,0,1,3
363,treatment,1,10,11.2
364,control,0,9,10
365,control,0,3,5
366,treatment,1,3,5.2
367,control,0,7,9
368,control,0,3,4
369,treatment,1,6,7.2
370,treatment,1,8,11.2
371,treatment,1,8,10.2
372,treatment,1,2,3.2
373,control,0,5,7
374,control,0,6,8
375,treatment,1,9,11.2
376,control,0,10,12
377,control,0,1,4
378,treatment,1,2,3.2
379,treatment,1,4,7.2
380,treatment,1,4,7.2
381,control,0,10,12
382,control,0,2,5
383,treatment,1,7,8.2
384,treatment,1,10,11.2
385,treatment,1,10,13.2
386,control,0,10,13
387,control,0,10,13
388,treatment,1,7,9.2
389,treatment,1,2,5.2
390,control,0,8,11
391,treatment,1,6,9.2
392,treatment,1,10,13.2
393,control,0,2,3
394,control,0,6,8
395,treatment,1,5,6.2
396,treatment,1,4,6.2
397,treatment,1,6,8.2
398,treatment,1,6,7.2
399,treatment,1,11,14.2
400,control,0,7,9
401,treatment,1,7,8.2
402,treatment,1,8,10.2
403,treatment,1,7,8.2
404,control,0,1,3
405,treatment,1,9,12.2
406,control,0,5,8
407,control,0,3,6
408,treatment,1,4,6.2
409,treatment,1,9,12.2
410,treatment,1,6,8.2
411,treatment,1,11,14.2
412,treatment,1,8,10.2
413,control,0,8,9
414,treatment,1,6,9.2
415,control,0,9,12
416,control,0,9,11
417,control,0,2,4
418,treatment,1,5,7.2
419,treatment,1,4,6.2
420,treatment,1,11,14.2
421,control,0,8,10
422,control,0,10,11
423,control,0,3,4
424,treatment,1,9,12.2
425,treatment,1,8,11.2
426,treatment,1,7,9.2
427,treatment,1,5,8.2
428,control,0,1,3
429,treatment,1,11,12.2
430,treatment,1,6,7.2
431,treatment,1,3,5.2
432,treatment,1,8,10.2
433,treatment,1,5,7.2
434,control,0,2,4
435,treatment,1,8,10.2
436,control,0,4,6
437,control,0,7,10
438,control,0,5,7
439,control,0,8,10
440,control,0,8,9
441,control,0,8,11
442,control,0,1,2
443,control,0,1,3
444,treatment,1,7,9.2
445,control,0,8,10
446,treatment,1,8,11.2
447,control,0,9,12
448,treatment,1,5,8.2
449,treatment,1,8,11.2
450,control,0,6,8
451,control,0,4,5
452,treatment,1,7,9.2
453,treatment,1,5,6.2
454,control,0,10,12
455,control,0,7,9
456,control,0,7,8
457,treatment,1,6,7.2
458,treatment,1,11,14.2
459,treatment,1,5,8.2
460,treatment,1,3,5.2
461,control,0,7,9
462,control,0,5,6
463,treatment,1,9,12.2
464,control,0,5,7
465,treatment,1,10,11.2
466,control,0,5,8
467,treatment,1,11,14.2
468,control,0,2,3
469,control,0,2,4
470,treatment,1,3,6.2
471,control,0,1,2
472,treatment,1,2,4.2
473,control,0,7,8
474,control,0,9,10
475,treatment,1,6,9.2
476,treatment,1,4,7.2
477,treatment,1,9,10.2
478,treatment,1,6,7.2
479,treatment,1,10,13.2
480,treatment,1,4,7.2
481,control,0,9,12
482,treatment,1,9,10.2
483,treatment,1,2,3.2
484,treatment,1,2,3.2
485,treatment,1,3,5.2
486,control,0,6,9
487,control,0,5,7
488,treatment,1,5,7.2
489,treatment,1,6,9.2
490,control,0,1,4
491,treatment,1,6,9.2
492,control,0,1,3
493,treatment,1,9,10.2
494,control,0,10,11
495,control,0,7,8
496,treatment,1,4,5.2
497,treatment,1,7,10.2
498,treatment,1,5,7.2
499,control,0,2,4
500,control,0,5,8
501,treatment,1,8,9.2
502,treatment,1,10,12.2
503,treatment,1,9,10.2
504,treatment,1,9,11.2
505,treatment,1,8,10.2
506,treatment,1,9,11.2
507,treatment,1,2,3.2
508,treatment,1,7,9.2
509,control,0,10,12
510,treatment,1,2,5.2
511,treatment,1,10,11.2
512,treatment,1,5,6.2
513,treatment,1,2,5.2
514,treatment,1,4,6.2
515,treatment,1,5,7.2
516,control,0,1,2
517,treatment,1,6,8.2
518,control,0,1,4
519,control,0,3,5
520,control,0,4,6
521,treatment,1,7,10.2
522,control,0,3,5
523,treatment,1,2,5.2
524,treatment,1,4,7.2
525,control,0,6,7
526,control,0,8,10
527,treatment,1,4,7.2
528,control,0,9,10
529,treatment,1,11,14.2
530,control,0,7,9
531,control,0,5,7
532,control,0,7,9
533,control,0,5,6
534,treatment,1,5,6.2
535,treatment,1,9,10.2
536,treatment,1,10,12.2
537,treatment,1,9,12.2
538,control,0,6,8
539,treatment,1,11,12.2
540,treatment,1,9,12.2
541,control,0,1,4
542,control,0,9,11
543,control,0,5,6
544,treatment,1,10,13.2
545,treatment,1,3,5.2
546,control,0,3,5
547,control,0,4,6
548,treatment,1,10,11.2
549,treatment,1,6,8.2
550,control,0,7,10
551,control,0,3,4
552,control,0,10,11
553,control,0,5,8
554,treatment,1,5,6.2
555,control,0,8,10
556,control,0,8,9
557,control,0,6,7
558,treatment,1,11,12.2
559,control,0,3,6
560,treatment,1,2,3.2
561,treatment,1,9,11.2
562,control,0,2,5
563,treatment,1,2,3.2
564,control,0,9,11
565,treatment,1,11,14.2
566,control,0,9,11
567,treatment,1,11,12.2
568,treatment,1,11,14.2
569,control,0,9,12
570,control,0,8,9
571,treatment,1,6,8.2
572,treatment,1,8,10.2
573,control,0,9,12
574,control,0,5,7
575,control,0,4,7
576,treatment,1,11,14.2
577,control,0,10,13
578,treatment,1,11,12.2
579,control,0,5,6
580,treatment,1,7,9.2
581,control,0,10,12
582,control,0,7,8
583,treatment,1,11,12.2
584,control,0,5,6
585,treatment,1,10,11.2
586,treatment,1,8,9.2
587,control,0,10,13
588,treatment,1,2,3.2
589,control,0,4,7
590,control,0,5,7
591,treatment,1,3,4.2
592,treatment,1,5,6.2
593,control,0,1,4
594,control,0,3,6
595,treatment,1,6,7.2
596,control,0,4,5
597,treatment,1,6,9.2
598,treatment,1,10,12.2
599,control,0,9,11
600,control,0,5,6
601,treatment,1,10,13.2
602,treatment,1,6,9.2
603,control,0,5,8
604,treatment,1,10,12.2
605,treatment,1,8,10.2
606,control,0,4,7
607,treatment,1,8,9.2
608,control,0,9,11
609,control,0,10,13
610,control,0,1,3
611,treatment,1,9,11.2
612,treatment,1,6,8.2
613,treatment,1,10,12.2
614,treatment,1,2,4.2
615,control,0,7,8
616,control,0,2,5
617,control,0,8,11
618,control,0,7,8
619,treatment,1,7,10.2
620,control,0,8,9
621,treatment,1,4,6.2
622,control,0,1,2
623,treatment,1,9,12.2
624,treatment,1,6,9.2
625,treatment,1,10,11.2
626,treatment,1,11,12.2
627,treatment,1,2,3.2
628,control,0,2,4
629,control,0,5,8
630,treatment,1,4,7.2
631,control,0,10,12
632,treatment,1,9,11.2
633,control,0,5,7
634,treatment,1,10,13.2
635,control,0,10,13
636,control,0,1,4
637,control,0,6,8
638,control,0,7,9
639,treatment,1,11,12.2
640,control,0,8,11
641,treatment,1,4,5.2
642,control,0,9,10
643,treatment,1,4,6.2
644,control,0,1,4
645,control,0,9,10
646,control,0,1,3
647,control,0,1,2
648,treatment,1,8,9.2
649,control,0,3,5
650,control,0,5,6
651,treatment,1,6,7.2
652,treatment,1,11,12.2
653,control,0,1,2
654,treatment,1,9,10.2
655,control,0,10,11
656,control,0,1,2
657,control,0,7,9
658,control,0,4,5
659,treatment,1,11,12.2
660,control,0,4,6
661,treatment,1,3,4.2
662,control,0,8,9
663,control,0,7,9
664,control,0,9,10
665,treatment,1,4,7.2
666,treatment,1,8,10.2
667,control,0,1,2
668,treatment,1,9,10.2
669,treatment,1,11,13.2
670,control,0,1,3
671,control,0,10,11
672,treatment,1,11,12.2
673,treatment,1,4,6.2
674,control,0,3,5
675,control,0,8,10
676,control,0,7,10
677,control,0,5,6
678,control,0,3,4
679,treatment,1,7,8.2
680,treatment,1,10,11.2
681,control,0,10,11
682,treatment,1,4,5.2
683,control,0,7,9
684,control,0,4,7
685,treatment,1,6,8.2
686,treatment,1,8,10.2
687,control,0,2,5
688,treatment,1,7,8.2
689,treatment,1,7,10.2
690,control,0,2,3
691,treatment,1,10,13.2
692,control,0,1,3
693,treatment,1,9,11.2
694,treatment,1,4,5.2
695,control,0,10,13
696,treatment,1,4,6.2
697,treatment,1,10,13.2
698,control,0,7,8
699,control,0,1,2
700,control,0,7,8
701,control,0,1,4
702,control,0,10,13
703,control,0,8,11
704,control,0,5,6
705,treatment,1,10,12.2
706,treatment,1,2,4.2
707,treatment,1,10,11.2
708,treatment,1,10,12.2
709,control,0,2,3
710,treatment,1,9,12.2
711,treatment,1,11,14.2
712,treatment,1,8,9.2
713,treatment,1,5,6.2
714,control,0,6,7
715,control,0,4,7
716,control,0,4,6
717,treatment,1,5,6.2
718,control,0,6,9
719,control,0,10,11
720,control,0,6,9
721,treatment,1,6,8.2
722,control,0,3,6
723,control,0,10,11
724,control,0,10,12
725,control,0,4,6
726,treatment,1,11,13.2
727,control,0,7,10
728,treatment,1,5,8.2
729,treatment,1,4,5.2
730,control,0,5,6
731,treatment,1,6,8.2
732,treatment,1,8,10.2
733,treatment,1,4,5.2
734,control,0,10,12
735,treatment,1,7,8.2
736,control,0,2,4
737,control,0,9,12
738,treatment,1,11,14.2
739,treatment,1,5,7.2
740,control,0,4,5
741,control,0,8,9
742,treatment,1,9,11.2
743,control,0,10,13
744,treatment,1,2,3.2
745,treatment,1,10,12.2
746,treatment,1,2,5.2
747,control,0,6,7
748,treatment,1,8,11.2
749,treatment,1,2,5.2
750,control,0,9,11
751,treatment,1,8,11.2
752,control,0,7,8
753,control,0,3,6
754,control,0,1,3
755,control,0,2,4
756,treatment,1,9,11.2
757,control,0,6,9
758,treatment,1,11,12.2
759,treatment,1,10,12.2
760,treatment,1,3,5.2
761,treatment,1,11,12.2
762,control,0,5,6
763,control,0,2,3
764,control,0,7,9
765,treatment,1,10,12.2
766,treatment,1,11,14.2
767,control,0,4,7
768,treatment,1,2,5.2
769,treatment,1,2,3.2
770,control,0,6,7
771,control,0,4,7
772,control,0,8,9
773,treatment,1,5,8.2
774,control,0,5,8
775,treatment,1,7,10.2
776,treatment,1,7,10.2
777,treatment,1,7,9.2
778,treatment,1,8,11.2
779,control,0,6,9
780,treatment,1,11,12.2
781,control,0,10,11
782,treatment,1,8,9.2
783,treatment,1,3,6.2
784,treatment,1,5,8.2
785,control,0,4,7
786,treatment,1,6,8.2
787,treatment,1,8,9.2
788,treatment,1,4,5.2
789,control,0,5,6
790,control,0,3,6
791,control,0,2,3
792,treatment,1,11,12.2
793,treatment,1,3,6.2
794,treatment,1,4,5.2
795,treatment,1,8,11.2
796,treatment,1,9,10.2
797,control,0,4,5
798,treatment,1,4,5.2
799,control,0,1,4
800,control,0,1,3
801,treatment,1,8,11.2
802,treatment,1,4,7.2
803,control,0,3,4
804,control,0,5,8
805,treatment,1,6,7.2
806,treatment,1,9,12.2
807,control,0,2,3
808,control,0,2,5
809,treatment,1,2,3.2
810,treatment,1,3,4.2
811,treatment,1,5,7.2
812,treatment,1,4,7.2
813,treatment,1,8,10.2
814,treatment,1,10,11.2
815,treatment,1,2,4.2
816,treatment,1,5,7.2
817,control,0,7,9
818,control,0,6,8
819,control,0,6,9
820,control,0,7,9
821,treatment,1,9,12.2
822,control,0,10,11
823,control,0,1,2
824,control,0,3,6
825,control,0,10,13
826,treatment,1,4,7.2
827,control,0,6,8
828,control,0,8,11
829,treatment,1,2,3.2
830,control,0,3,6
831,control,0,1,4
832,control,0,3,4
833,control,0,6,7
834,treatment,1,5,8.2
835,control,0,10,11
836,control,0,8,9
837,treatment,1,3,4.2
838,control,0,1,2
839,control,0,3,5
840,treatment,1,9,11.2
841,control,0,8,11
842,control,0,2,3
843,control,0,3,6
844,treatment,1,4,7.2
845,treatment,1,7,9.2
846,control,0,7,10
847,treatment,1,10,13.2
848,treatment,1,7,10.2
849,control,0,7,9
850,treatment,1,9,11.2
851,control,0,5,8
852,treatment,1,2,5.2
853,treatment,1,10,11.2
854,control,0,5,8
855,control,0,3,5
856,treatment,1,5,7.2
857,control,0,9,11
858,control,0,1,3
859,control,0,4,6
860,control,0,2,4
861,control,0,1,3
862,treatment,1,2,4.2
863,control,0,8,11
864,treatment,1,8,9.2
865,treatment,1,8,9.2
866,treatment,1,7,8.2
867,treatment,1,3,5.2
868,treatment,1,7,9.2
869,control,0,1,4
870,treatment,1,9,12.2
871,control,0,3,5
872,treatment,1,9,12.2
873,control,0,6,8
874,treatment,1,11,13.2
875,control,0,4,5
876,control,0,2,5
877,control,0,2,3
878,treatment,1,8,9.2
879,treatment,1,4,7.2
880,control,0,4,6
881,control,0,5,7
882,control,0,10,11
883,treatment,1,7,9.2
884,control,0,3,4
885,treatment,1,7,8.2
886,control,0,4,5
887,control,0,10,11
888,treatment,1,11,14.2
889,treatment,1,8,10.2
890,treatment,1,6,8.2
891,treatment,1,3,5.2
892,treatment,1,4,5.2
893,treatment,1,6,9.2
894,control,0,1,4
895,control,0,8,9
896,treatment,1,8,10.2
897,control,0,8,9
898,control,0,3,6
899,control,0,7,9
900,treatment,1,11,13.2
901,control,0,3,5
902,control,0,4,5
903,treatment,1,4,6.2
904,control,0,9,11
905,control,0,10,13
906,control,0,5,6
907,control,0,8,11
908,control,0,2,4
909,control,0,5,7
910,treatment,1,7,9.2
911,treatment,1,6,9.2
912,control,0,5,8
913,control,0,3,4
914,control,0,10,11
915,treatment,1,5,6.2
916,control,0,7,9
917,treatment,1,11,13.2
918,control,0,6,9
919,control,0,6,8
920,treatment,1,9,12.2
921,treatment,1,2,4.2
922,control,0,4,7
923,control,0,3,6
924,treatment,1,5,6.2
925,control,0,3,6
926,treatment,1,8,10.2
927,treatment,1,8,9.2
928,treatment,1,7,8.2
929,control,0,6,7
930,treatment,1,8,10.2
931,treatment,1,9,11.2
932,control,0,5,8
933,treatment,1,9,10.2
934,treatment,1,2,5.2
935,control,0,10,12
936,control,0,8,9
937,control,0,10,12
938,control,0,5,7
939,treatment,1,8,10.2
940,control,0,8,11
941,treatment,1,10,11.2
942,control,0,3,5
943,treatment,1,5,8.2
944,control,0,6,9
945,treatment,1,6,8.2
946,control,0,10,13
947,treatment,1,9,11.2
948,treatment,1,10,13.2
949,control,0,5,7
950,treatment,1,2,3.2
951,control,0,1,4
952,control,0,6,9
953,treatment,1,4,7.2
954,control,0,10,13
955,control,0,7,8
956,treatment,1,3,4.2
957,control,0,8,11
958,treatment,1,9,12.2
959,treatment,1,11,14.2
960,control,0,1,3
961,control,0,2,3
962,control,0,7,9
963,control,0,7,8
964,treatment,1,2,5.2
965,treatment,1,7,9.2
966,treatment,1,6,7.2
967,control,0,7,8
968,control,0,1,4
969,control,0,9,11
970,control,0,8,10
971,control,0,2,3
972,control,0,9,12
973,control,0,4,5
974,treatment,1,11,12.2
975,treatment,1,10,12.2
976,control,0,4,7
977,control,0,9,11
978,control,0,7,9
979,treatment,1,3,4.2
980,control,0,1,3
981,treatment,1,4,5.2
982,control,0,4,6
983,treatment,1,8,11.2
984,control,0,8,11
985,treatment,1,9,11.2
986,treatment,1,6,9.2
987,treatment,1,7,10.2
988,treatment,1,5,6.2
989,control,0,7,9
990,treatment,1,10,11.2
991,treatment,1,7,10.2
992,treatment,1,5,6.2
993,treatment,1,10,12.2
994,treatment,1,9,12.2
995,treatment,1,9,12.2
996,treatment,1,6,8.2
997,control,0,5,6
998,treatment,1,10,11.2
999,treatment,1,5,8.2
1000,treatment,1,7,8.2
1001,control,0,6,9
1002,control,0,5,8
1003,treatment,1,7,8.2
1004,treatment,1,5,8.2
1005,treatment,1,7,9.2
1006,treatment,1,6,7.2
1007,control,0,4,7
1008,control,0,5,6
1009,treatment,1,9,10.2
1010,control,0,9,12
1011,treatment,1,2,5.2
1012,control,0,7,10
1013,control,0,4,5
1014,control,0,5,8
1015,control,0,4,6
1016,control,0,8,9
1017,control,0,6,8
1018,treatment,1,6,7.2
1019,control,0,5,7
1020,treatment,1,5,7.2
1021,control,0,5,8
1022,control,0,9,10
1023,treatment,1,7,8.2
1024,treatment,1,2,3.2
1025,control,0,4,5
1026,treatment,1,4,5.2
1027,control,0,2,3
1028,treatment,1,4,5.2
1029,treatment,1,7,9.2
1030,control,0,1,2
1031,treatment,1,6,8.2
1032,control,0,1,3
1033,treatment,1,2,5.2
1034,treatment,1,5,6.2
1035,control,0,10,12
1036,treatment,1,2,3.2
1037,treatment,1,3,6.2
1038,control,0,7,8
1039,treatment,1,6,8.2
1040,control,0,6,8
1041,control,0,1,3
1042,control,0,4,6
1043,control,0,9,12
1044,control,0,6,8
1045,treatment,1,8,11.2
1046,treatment,1,8,10.2
1047,control,0,1,4
1048,control,0,3,5
1049,treatment,1,11,13.2
1050,treatment,1,7,9.2
1051,control,0,5,7
1052,treatment,1,8,9.2
1053,treatment,1,7,8.2
1054,control,0,1,4
1055,control,0,1,4
1056,treatment,1,6,7.2
1057,control,0,3,5
1058,treatment,1,5,8.2
1059,treatment,1,8,11.2
1060,control,0,7,10
1061,control,0,2,5
1062,control,0,1,2
1063,control,0,7,9
1064,control,0,3,5
1065,treatment,1,4,7.2
1066,treatment,1,7,9.2
1067,treatment,1,4,7.2
1068,control,0,2,5
1069,treatment,1,2,3.2
1070,control,0,1,2
1071,treatment,1,6,8.2
1072,treatment,1,7,10.2
1073,control,0,9,12
1074,treatment,1,7,10.2
1075,treatment,1,9,11.2
1076,control,0,8,10
1077,control,0,4,7
1078,control,0,1,2
1079,control,0,4,5
1080,control,0,4,7
1081,control,0,6,7
1082,control,0,4,5
1083,control,0,7,9
1084,control,0,3,5
1085,control,0,10,13
1086,treatment,1,7,9.2
1087,treatment,1,11,13.2
1088,treatment,1,7,9.2
1089,treatment,1,11,12.2
1090,treatment,1,3,6.2
1091,treatment,1,6,9.2
1092,control,0,3,4
1093,control,0,5,7
1094,control,0,2,5
1095,treatment,1,7,10.2
1096,treatment,1,4,5.2
1097,control,0,5,7
1098,treatment,1,6,8.2
1099,control,0,9,11
1100,control,0,6,8
1101,control,0,4,5
1102,treatment,1,4,7.2
1103,control,0,7,9
1104,control,0,2,3
1105,treatment,1,7,8.2
1106,treatment,1,9,11.2
1107,control,0,10,11
1108,control,0,4,7
1109,control,0,2,4
1110,treatment,1,3,5.2
1111,treatment,1,7,8.2
1112,treatment,1,2,3.2
1113,treatment,1,6,9.2
1114,treatment,1,8,9.2
1115,control,0,8,10
1116,control,0,6,8
1117,treatment,1,11,14.2
1118,control,0,6,8
1119,control,0,9,10
1120,control,0,3,5
1121,control,0,5,7
1122,treatment,1,10,11.2
1123,treatment,1,9,12.2
1124,treatment,1,3,5.2
1125,treatment,1,8,9.2
1126,control,0,5,6
1127,control,0,2,3
1128,treatment,1,6,7.2
1129,treatment,1,4,6.2
1130,control,0,6,9
1131,treatment,1,8,9.2
1132,control,0,4,5
1133,treatment,1,5,6.2
1134,treatment,1,8,11.2
1135,control,0,5,7
1136,control,0,4,6
1137,treatment,1,5,8.2
1138,treatment,1,7,10.2
1139,control,0,4,5
1140,treatment,1,6,9.2
1141,control,0,4,5
1142,treatment,1,11,12.2
1143,treatment,1,4,7.2
1144,treatment,1,9,12.2
1145,control,0,5,6
1146,treatment,1,4,7.2
1147,control,0,9,11
1148,treatment,1,2,3.2
1149,control,0,10,11
1150,control,0,10,11
1151,control,0,8,9
